Total number of nodes in all trees: 5241
    Tree starting at Vertex ID           Size         Weight
                          3626              1              5
                          3460              1              1
                          3320              1              3
                          3249              1              2
                          3246              1              2
                          3208              1              2
                          3191              1              2
                          3182              1              2
                          3180              1              7
                          3121              1              3
                          3108              1              5
                          3079              1              9
                          3062              1              4
                          3058              1              4
                          3033              1              0
                          3004              1              1
                          2988              1              1
                          2983              1              9
                          2960              1              5
                          2951              1              7
                          2947              1              1
                          2899              1              5
                          2865              1              6
                          2785              1              1
                          2773              1              5
                          2759              1              2
                          2681              1              7
                          2569              1              7
                          2427              1              1
                          2392              1              3
                          2384              1              0
                          2326              1              8
                          2317              1              8
                          2316              1              1
                          2309              1              8
                          2293              1              4
                          2274              1              8
                          2271              1              9
                          2260              1              1
                          2236              1              1
                          2132              1              5
                          2120              1              3
                          2112              1              6
                          2102              1              9
                          2068              1              0
                          2064              1              6
                          2035              1              9
                          2033              1              5
                          1977              1              2
                          1876              1              2
                          1861              1              5
                          1851              1              7
                          1843              1              1
                          1842              1              2
                          1798              1              0
                          1787              1              7
                          1776              1              1
                          1772              1              8
                          1743              1              9
                          1735              1              2
                          1705              1              9
                          1685              1              8
                          1678              1              2
                          1639              1              2
                          1631              1              5
                          1621              1              0
                          1606              1              8
                          1581              1              1
                          1566              1              9
                          1556              1              8
                          1542              1              2
                          1528              1              2
                          1510              1              4
                          1496              1              6
                          1388              1              7
                          1384              1              1
                          1373              1              3
                          1370              1              6
                          1367              1              6
                          1321              1              0
                          1301              1              4
                          1293              1              4
                          1265              1              4
                          1255              1              2
                          1249              1              5
                          1210              1              6
                          1190              1              1
                          1161              1              4
                          1155              1              9
                          1140              1              1
                          1139              1              4
                          1137              1              0
                          1133              1              9
                          1111              1              4
                          1108              1              9
                          1102              1              9
                          1097              1              6
                          1081              1              1
                          1069              1              9
                          1045              1              7
                          1039              1              8
                          1010              1              1
                           958              1              7
                           914              1              1
                           880              1              5
                           869              1              1
                           864              1              3
                           853              1              5
                           850              1              9
                           847              1              1
                           833              1              8
                           799              1              2
                           741              1              5
                           713              1              1
                           660              1              1
                           646              1              7
                           642              1              5
                           630              1              8
                           626              1              2
                           623              1              4
                           601              1              6
                           595              1              3
                           565              1              6
                           546              1              8
                           536              1              0
                           533              1              7
                           528              1              3
                           524              1              5
                           504              1              8
                           475              1              5
                           470              1              0
                           452              1              1
                           423              1              7
                           422              1              8
                           420              1              3
                           398              1              7
                           387              1              6
                           355              1              4
                           330              1              5
                           305              1              4
                           286              1              3
                           272              1              1
                           265              1              2
                           264              1              2
                           239              1              4
                           238              1              3
                           224              1              6
                           209              1              0
                           197              1              9
                           184              1              0
                           159              1              8
                           157              1              9
                           141              1              7
                           140              1              9
                           128              1              7
                           109              1              6
                            96              1              6
                            95              1              9
                            75              1              2
                            66              1              8
                            51              1              4
                            26              1              0
                            20              1              2
                             4              1              6
                             1              1              7
