Total number of nodes in all trees: 5241

    Tree starting at Vertex ID      Tree Size    Tree Weight
                          1977              2              2
                          1876              2              2
                          1861              2              5
                          1851              2              7
                          1843              2              1
                          1842              2              2
                          1798              2              0
                          1787              2              7
                          1776              2              1
                          1772              2              8
                          1743              2              9
                          1735              2              2
                          1705              2              9
                          1685              2              8
                          1678              2              2
                          1639              2              2
                          1631              2              5
                          1621              2              0
                          1606              2              8
                          1581              2              1
                          1566              2              9
                          1556              2              8
                          1542              2              2
                          1528              2              2
                          1510              2              4
                          1496              2              6
                          1388              2              7
                          1384              2              1
                          1373              2              3
                          1370              2              6
                          1367              2              6
                          1321              2              0
                          1301              2              4
                          1293              2              4
                          1265              2              4
                          1255              2              2
                          1249              2              5
                          1210              2              6
                          1190              2              1
                          1161              2              4
                          1155              2              9
                          1140              2              1
                          1139              2              4
                          1137              2              0
                          1133              2              9
                          1111              2              4
                          1108              2              9
                          1102              2              9
                          1097              2              6
                          1081              2              1
                          1069              2              9
                          1045              2              7
                          1039              2              8
                          1010              2              1
                           958              2              7
                           914              2              1
                           880              2              5
                           869              2              1
                           864              2              3
                           853              2              5
                           850              2              9
                           847              2              1
                           833              2              8
                           799              2              2
                           741              2              5
                           713              2              1
                           660              2              1
                           646              2              7
                           642              2              5
                           630              2              8
                           626              2              2
                           623              2              4
                           601              2              6
                           595              2              3
                           565              2              6
                           546              2              8
                           536              2              0
                           533              2              7
                           528              2              3
                           524              2              5
                           504              2              8
                           475              2              5
                           470              2              0
                           452              2              1
                           423              2              7
                           422              2              8
                           420              2              3
                           398              2              7
                           387              2              6
                           355              2              4
                           330              2              5
                           305              2              4
                           286              2              3
                           272              2              1
                           265              2              2
                           264              2              2
                           239              2              4
                           238              2              3
                           224              2              6
                           209              2              0
                           197              2              9
                           184              2              0
                           159              2              8
                           157              2              9
                           141              2              7
                           140              2              9
                           128              2              7
                           109              2              6
                            96              2              6
                            95              2              9
                            75              2              2
                            66              2              8
                            51              2              4
                            26              2              0
                            20              2              2
                             4              2              6
                             1              2              7
